1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
-124,259,471,421,450,-33,-48,533,1387,353,430,2316,1748,1732,4318,1241,1797,1639,2366,2194,756,1652,2556,2177,2626,1875,2859,1581,2101,997,2581,2266,1546,2420,4588,3902,3324,2820,2435,1907,3255,2903,2779,2644,3743,470,2173,1602,3280,3655,4711,3497,3823,1621,3536,2679,3485,4458,4596,2112,2395,4146,2167,246,2624,2690,3797,2411,2288,-51,3075,2144,5165,1295,4161,4292,1264,2153,4308,-21,5281,3444,773,5148,3101,3380,2129,1112,510,3332,6595,5949,2878,1871,1533,4518,3762,5034,5277,1983,4477,3174,6774,6386,5292,6203,4874,4676,5884,5649,2039,6215,520,4075,3643,3457,5901,6294,4696,3236,7378,4063
-31,-27,439,679,363,565,112,677,1069,1641,426,528,460,1834,1042,1390,982,2732,5435,1580,79,1417,4250,2496,3175,2284,2308,3539,1587,5871,3057,3922,1601,5698,3317,1503,4027,2051,3571,5345,1680,3722,4784,5288,3072,2868,3312,2506,4313,1531,3025,4473,2401,2417,3189,3452,2743,4082,2219,5035,2427,2304,3028,4823,2302,1101,2965,2270,2738,2850,2199,7202,2687,5641,5619,5610,2408,1280,6059,3466,3158,2402,3656,3740,2087,3846,2173,5580,4627,4064,-45,4314,5063,1175,881,1816,6130,1516,6490,5270,3492,4013,2870,2040,3217,758,3191,2259,2723,-24,4964,678,6229,4456,3833,4302,7081,4071,538,2649,1038,709
397,120,681,34,517,812,219,257,676,950,2860,262,2689,1842,803,221,1466,3042,3145,1206,1313,3104,2646,1135,1702,613,3216,4661,4140,487,1813,2061,1508,2739,2337,3686,1764,3120,3390,1622,2255,1457,3213,2658,3692,2706,3088,112,4768,2489,3330,3682,2643,4566,3695,1595,2046,3508,3185,3371,3275,1796,2914,1040,3822,5009,1776,3911,4167,2906,2470,2727,3094,392,5140,4571,4653,705,3295,2228,3730,3807,3675,833,2556,938,4472,6277,4591,3096,6045,6469,5607,4103,960,5076,2952,7595,6129,2868,3137,2528,3835,3822,4599,6922,5158,1967,5743,3890,101,7903,3686,4314,6013,3539,4660,4353,4467,3112,2533,1481
-124,-14,-27,126,123,652,606,481,633,595,593,287,1607,2590,484,566,1091,755,2095,2330,4427,2191,1171,487,4676,3005,2470,498,1198,3606,1627,2941,2838,3766,1097,1754,2057,2072,3759,3743,4001,2785,2510,3641,2105,2886,3986,4833,2944,1545,3988,3207,4556,4094,4358,4490,5348,2811,4520,1337,3764,3686,1708,4701,1784,2032,3257,3612,3002,3890,3020,4496,4216,1839,2908,5200,4575,1627,1775,4714,4122,5542,1090,4706,1635,3667,3440,1504,3503,4963,2130,4812,3063,1619,8786,2916,2954,7040,6874,4790,4017,5313,1041,3371,5729,4923,1897,-18,6357,5827,6448,4260,1168,3110,4009,-9,3969,1874,4778,6566,533,3823
-9,-18,-45,5,139,696,604,563,530,467,205,508,217,1333,2138,2812,1836,1038,808,1449,2317,1708,2263,2195,2674,729,3146,2749,1988,2060,2546,2167,1714,530,2177,2722,1639,3892,2065,4156,2867,3592,2417,3084,3850,4467,958,4076,2140,2097,4407,3070,3442,1654,1917,1934,2658,2002,2022,2573,1937,4117,5690,2905,3174,-24,2254,2513,3715,2494,3272,-18,2290,1084,2517,2477,2741,391,4520,2800,336,4585,3540,122,1014,4962,108,4807,2129,2326,6445,1988,4509,3547,3436,4335,1094,2419,4105,4187,4526,6722,2189,4921,5222,3937,5983,3116,5420,3632,3389,5639,2939,2369,5140,-9,2134,2223,3930,3579,7254,8018
3,-23,-21,-21,28,39,134,637,135,821,502,1146,452,750,913,1390,3554,1673,2963,3236,1614,2898,1081,1237,939,1541,1951,434,2052,562,2816,1420,4921,2430,1673,5323,1914,2829,2459,4049,1624,2549,3937,3606,3951,2194,3712,2253,2757,1359,4054,2236,2073,3469,2691,3015,3847,3280,3588,5220,2437,2747,2535,2933,637,5362,975,2527,2213,1510,1812,1770,2757,5320,3382,3839,3308,2897,2613,4346,3430,3710,1884,4310,2225,2409,2215,2461,4455,1345,1020,4027,5361,-42,5746,-24,972,5250,4482,1877,4412,1948,4086,923,5887,2828,8777,3705,7082,4746,5150,5742,4559,7146,-21,7417,2157,5943,2877,2300,8377,6311
-124,-48,-40,-44,-33,840,124,-57,201,473,304,228,768,1286,1183,1137,933,1526,2095,809,1705,2351,1847,1570,3491,2953,460,1250,1776,3494,2062,1869,2304,775,2242,2305,1486,1371,3126,4469,1724,3813,2519,4433,5725,2356,2885,2876,3175,1707,4486,2308,3263,1257,3515,3819,5562,3688,2395,2714,3870,2171,2747,133,3865,4817,3385,1974,1417,3394,2725,4645,1879,2536,3847,2368,3344,1533,936,4244,2280,486,3314,1209,5009,507,1254,2560,225,5461,4464,4778,2623,3657,2215,-18,78,4233,6218,3593,7238,5756,5873,3370,4079,3446,3735,4961,1256,7601,2734,4482,4388,3585,5298,4236,929,1769,77,5109,2172,1567
-39,103,6,-30,-13,116,372,517,587,617,472,486,307,760,2573,750,1006,2146,1188,1823,1089,1461,1048,671,2342,2775,4013,3478,2313,4959,2842,3038,2510,4755,3679,2703,3414,5839,3392,5499,1839,3242,4066,3341,3014,2703,2990,2157,2040,2252,3179,2927,2326,1383,2982,3607,1625,3620,2273,4123,4255,3211,2390,4640,2305,4254,5104,128,4352,4519,2467,5440,1814,1980,2116,2018,3974,3925,4093,5086,1615,1308,2958,3154,2153,3081,657,5294,5585,3100,5171,1450,3648,1586,3476,1312,3505,5256,1013,1947,4334,316,5590,5833,2247,7079,1044,5048,6132,1055,684,630,5847,1006,5303,1342,3582,5934,7127,1710,6591,6730
-24,-34,-63,-124,-22,23,252,13,448,663,-95,212,332,1517,2331,2501,3050,296,1984,1248,2898,3230,632,174,2489,1175,1471,4549,2005,1421,3734,2175,1916,2692,2839,933,3642,4326,4201,1444,2478,2802,2226,3118,2111,1288,2318,1562,2460,4405,4043,1518,1178,2710,5063,2730,2738,1666,4441,2283,2884,2943,4379,1776,4166,4572,2788,2121,3275,1734,4109,3254,3698,6484,2873,2754,4094,3511,134,4180,2761,2604,1806,4237,3762,1692,2757,5049,2698,4359,741,2499,3662,934,8915,3886,543,1254,1570,6250,5087,1329,4778,1030,1941,336,2899,5459,4557,3651,4164,3924,7537,1902,6245,816,5046,511,6306,1170,6381,464
-39,-24,-119,-15,-124,-119,-18,-114,131,1359,-124,-119,-119,-119,461,2926,-119,-114,-36,-125,633,1590,1361,1248,651,1255,574,3305,0,1678,-119,4900,1213,2507,1695,3426,2583,290,1423,3594,3659,1918,1338,-39,2274,231,-21,2567,2072,2295,1653,3548,2707,2942,4496,3420,2325,2620,2493,4367,2233,2379,3348,2114,2195,3280,3924,2606,75,407,2199,3097,1632,-21,1784,2402,-12,3610,201,5274,5080,-6,3270,484,3802,4421,-124,2256,3433,2605,5310,2067,-12,4327,114,1017,299,1886,6711,204,4853,-33,3015,3064,4808,1980,99,5224,4040,3302,3472,7057,3674,1169,1890,4439,2216,3894,640,1916,1660,6182
