Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,Max
1,9,-124,-124,-24,-24,6,-142,-42,-124,114,25,-45,-203,6,-124,-116,-9,4,-223,-124,4,-45,-9,-15,-6,513,-94,-119,-124,-13,103,-50,-147,-100,-182,-19,-124,10,-119,0,-21,74,-223,-77,-45,-124,3,-119,-94,50,513
2,-27,116,89,-18,14,70,-119,-89,15,112,152,-99,-15,16,-157,-57,-39,-119,-9,9,51,33,-36,-35,-119,-124,-79,-134,-124,78,-8,-107,-32,-163,-104,-4,-27,16,-193,-173,16,-208,-27,-124,32,-55,-124,-13,11,-228,152
3,21,96,222,85,21,-29,-10,-11,-3,57,-14,-27,-50,23,-8,-42,-33,-124,-18,-12,0,21,8,-60,-13,-4,-70,-34,11,-7,11,-72,-55,-39,-8,-129,-178,13,-8,-30,-213,-169,105,-93,-35,-36,-41,-15,-150,-36,222
4,-115,24,-52,-16,15,0,127,241,33,-45,-24,-12,3,-183,-24,-21,275,-223,-203,-124,-213,-30,-16,-18,-7,-218,-44,0,-13,-129,250,124,-45,-36,-127,12,-42,-48,-119,18,-15,-119,276,-119,-12,-105,-149,-134,-134,-12,276
5,224,127,-43,12,121,-24,-45,194,18,-119,-24,-24,-104,3,8,-12,-66,-104,-22,-39,34,-124,-15,31,-51,-119,-3,-34,-42,-22,-119,-124,-9,-223,-50,-9,-193,-124,-85,-119,25,-83,-12,-127,-34,-12,-193,-124,-57,265,265
6,80,-64,111,-73,-30,19,99,13,-15,240,15,35,-36,-15,-9,-9,8,5,-110,-120,-24,-5,-22,102,-143,-9,15,-165,-104,-38,-119,-35,-21,23,-33,-115,-33,-12,-12,-124,-88,45,-9,-4,-2,-203,15,-9,-23,-114,240
7,111,64,75,118,-117,30,-100,18,-1,-6,-36,19,-85,-12,-51,94,-51,135,-14,-169,-42,-124,-124,-213,103,-79,-124,13,-38,13,-119,-12,13,-26,-124,-137,-15,-119,-168,-119,138,96,-21,-12,-40,-51,-109,80,-42,45,138
8,126,252,98,97,79,-7,-30,4,121,-139,31,-15,4,-110,-213,-74,-12,-40,-39,-119,-168,-178,40,98,-15,-119,-119,-76,-243,-119,146,-103,-18,-29,-55,-119,-213,-14,-12,-213,-80,-119,-39,-27,-208,126,-10,-48,-14,-48,252
9,220,-170,-112,22,107,13,116,52,-1,-7,14,34,-11,-13,-15,-124,50,-243,-39,9,-119,-9,14,-82,-6,-7,-42,-20,-128,35,-119,-223,-24,-134,-163,-1,235,-218,-85,92,-100,-93,-15,-110,-18,-24,14,-15,-124,-197,235
10,-119,-68,22,36,20,76,24,-95,-1,-18,19,-107,3,139,-48,13,77,-119,-149,-72,-124,-124,-124,-120,8,-42,107,-142,-119,-202,-85,-233,-1,-9,-208,-42,-92,25,-105,-9,-119,-119,-104,-96,-84,-27,-99,-124,-157,-104,139
11,84,6,-9,90,17,138,37,125,112,-9,39,116,-24,24,-45,-124,-73,-58,21,-170,-1,-36,-119,25,-114,-238,16,11,-21,-27,-9,-105,-21,-20,19,-139,-157,117,-9,137,26,-218,24,-104,-18,-153,11,-100,21,-114,138
12,-4,19,201,87,-15,-10,-7,120,-21,67,-51,-9,158,4,-5,9,110,-21,0,-21,-129,-1,-24,-42,-124,3,144,-27,-119,119,-124,-148,-15,71,10,-11,-55,-124,11,-92,-115,-16,14,-125,-120,8,-119,233,-42,-37,233
13,-110,245,-53,101,10,122,-31,-33,1,-134,117,-1,-18,89,-21,-42,-5,6,-119,-115,-109,-15,-53,111,-124,19,-9,4,-39,-19,-89,-9,-8,10,-30,-124,17,-18,-100,-15,-213,-149,-54,14,-114,-33,-36,-107,-119,-158,245
14,122,21,28,127,78,-26,-20,144,-15,0,19,23,-15,-67,-21,2,-8,-39,80,-51,14,-39,-94,-16,-184,-124,-15,-39,-42,-12,19,-115,-139,-1,-183,-12,-124,-13,-9,-46,267,-198,-54,-30,-163,-17,-124,-8,-18,-60,267
15,19,-55,91,132,20,134,46,-100,-46,-5,104,112,139,10,-104,-30,-21,-22,96,13,-9,238,-24,-119,-119,-139,-124,-11,9,5,118,-13,131,-218,-14,7,-154,-31,-119,38,-220,-33,-12,-195,-102,-17,-21,84,-78,18,238
16,-1,-24,91,18,-153,-18,26,24,126,128,-33,20,-57,-30,84,-15,-45,144,24,-114,-145,-119,23,491,93,-36,-21,-117,-124,87,-21,-18,-47,-188,128,-22,109,-157,-79,-13,-27,-124,-47,-9,-92,-33,-33,-248,-226,-124,491
17,542,5,86,-21,-125,113,-23,105,39,-162,-213,-19,23,-6,114,17,-124,-119,-210,-174,-114,-3,0,4,-115,-48,-119,-12,-243,6,1,-30,6,-17,-124,-2,-104,107,3,13,-18,-154,-39,-8,-119,-51,95,142,6,81,542
18,591,-18,40,122,83,82,-76,143,85,21,95,161,25,17,-10,131,-12,-198,-119,-124,-33,12,79,-12,22,-36,-27,-30,15,-114,-119,100,114,-2,-29,-33,120,-45,18,-14,-146,0,-46,-122,-1,-124,-89,-178,-198,91,591
19,450,-4,-48,-16,51,130,-51,118,5,102,-104,82,143,82,107,-5,-119,-119,-22,-82,-2,-42,-26,-124,-119,-36,-39,25,10,-139,-51,-27,-27,116,74,3,95,-112,-33,-33,-72,-154,14,-100,-124,20,-14,255,-119,10,450
20,529,-1,11,146,-12,82,-79,130,-5,22,211,-22,0,-9,19,-119,-159,-110,141,4,-39,93,30,-44,433,-11,-198,10,-124,26,-9,-12,-60,-164,-54,16,76,-20,-18,-15,129,-36,-6,-9,-48,-107,-129,-27,-3,-21,529
21,736,-84,31,-9,49,133,-38,87,45,32,-85,-8,82,-45,-127,12,-10,-15,114,14,-183,-33,92,-94,-27,-20,-27,-24,-130,-5,118,-27,-142,113,-17,134,10,1,-17,-124,204,502,-51,-124,-37,-70,29,9,98,-116,736
22,473,383,-188,100,107,5,130,-198,17,18,104,38,7,-33,34,-104,106,-27,-45,5,-39,24,40,100,112,-68,-12,-5,-36,-29,-129,1,38,-177,88,-42,-29,-192,110,-124,-9,-100,35,-15,-39,85,77,-12,93,-44,473
23,499,67,109,-110,-218,-27,-30,137,23,32,131,-198,38,-41,-25,3,-10,109,-51,236,-28,104,10,-104,-148,5,-10,1,-121,-177,-30,-27,-24,-9,-36,0,-124,-24,-172,-10,-42,-15,-79,-9,-218,-144,-51,-164,5,-119,499
24,721,141,130,169,124,-218,22,649,-79,-243,122,-10,-15,-12,18,-18,235,-159,-149,-32,125,-192,38,-12,-170,-30,-12,-25,-191,-47,17,-9,-54,-9,-129,284,-109,-15,-114,-119,-124,-99,-51,-48,-40,-119,-145,-122,-114,23,721
25,706,263,15,-79,107,-45,89,130,-1,58,-48,9,-9,-12,-7,-25,-45,1,24,-51,86,-33,-208,8,97,8,-15,9,-119,-13,-124,-18,-18,-114,-17,-11,19,18,-57,-38,-278,-8,-193,15,-42,-36,-28,-100,2,100,706
26,580,133,-27,4,-22,-51,126,7,-71,-12,-21,-27,-72,2,14,-15,-124,-36,-20,-5,-21,-213,-12,-48,-4,132,-119,33,-18,-9,-2,-3,-48,-124,-15,-9,-21,-66,-119,15,-82,6,-54,-12,-33,-36,-136,-43,-15,22,580
27,-193,135,161,18,-9,6,20,37,-2,-6,-20,-12,-30,-24,-60,-124,26,-12,-140,-18,-90,-45,-9,-27,-14,-1,79,-54,100,-9,138,-213,-124,-9,-138,-45,-66,-45,-110,228,9,-127,-37,30,-89,-39,-157,-9,-27,2,228
